sku,brand,category_id,category_name,reviews_count,rating_raw,rating_smoothed,base_score,final_score__soft,final_score__balanced,final_score__strict,final_score__very_strict
BLUETTI AC2P 230.4Wh | 300W,Bluetti,4,Зарядні станції,2,5.0,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731
BLUETTI AC70 768Wh | 1000W,Bluetti,4,Зарядні станції,227,4.343612334801762,4.360444168646309,4.360444168646309,4.349772433457041,4.328063209605955,4.240909927798635,4.123372104331282
BOROFONE BR16,Borofone,76,Портативні колонки,3,5.0,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762
BOROFONE BR17,Borofone,76,Портативні колонки,6,5.0,4.62957955928079,4.62957955928079,4.468813539900347,4.216048151481858,3.72901541017829,3.6679143368670855
BOROFONE BR21,Borofone,76,Портативні колонки,1,4.0,4.493765168633358,4.493765168633358,4.493765168633358,4.493765168633358,4.493765168633358,4.493765168633358
BOROFONE BR3,Borofone,76,Портативні колонки,2,1.0,4.198594024604569,4.198594024604569,4.118594024604569,4.038594024604569,3.938594024604569,3.9719273579379024
Bang & Olufsen BeoSound A1 2nd Gen Black Anthracite (1734002),Bang & Olufsen,76,Портативні колонки,2,4.0,4.471321297331842,4.471321297331842,4.428450358830391,4.3794254289320795,4.299785268931366,4.3110437602628915
Bang & Olufsen BeoSound Explore Green,Bang & Olufsen,76,Портативні колонки,11,4.454545454545454,4.4957764045580815,4.4957764045580815,4.365902810506805,4.18712987113694,3.8182943094761006,3.7263531652338973
Bang & Olufsen Beolit 20 Grey Mist (1253303),Bang & Olufsen,76,Портативні колонки,3,5.0,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762,4.581263849621762
Blackview Active 10 Pro 5G 12/512GB,Blackview,225,Планшети,3,2.3333333333333335,4.259004161285693,4.259004161285693,4.161808718513068,4.027650183430184,3.8003333425010704,3.7963227654266483
Bluetti AC300 + Додаткова батарея B500K / 3000 Вт / 5120 Вт⋅год / LiFePO4 (3000W AC300+B500K),Bluetti,4,Зарядні станції,9,4.555555555555555,4.552748608815106,4.552748608815106,4.454598149972666,4.312577935300331,3.999137057692289,3.9650643062289532
Bluetti AC70P / 1000 Вт / 864 Вт⋅год / LiFePO4 (PB931378),Bluetti,4,Зарядні станції,526,4.530418250950571,4.531189944424245,4.531189944424245,4.510919928493934,4.473731691371576,4.346782502574888,4.189589512703896
Bluetti EB3A 600W 268Wh,Bluetti,4,Зарядні станції,116,4.456896551724138,4.470806688644398,4.470806688644398,4.370692736077298,4.211689482112222,3.83556498359286,3.4122961878844738
Bluetti Elite 10 / 200 Вт / 128 Вт⋅год / LiFePO4 (P-EL10-EU-GY-BL-010),Bluetti,4,Зарядні станції,28,3.7142857142857144,4.063118951159127,4.063118951159127,3.940227274468596,3.7576461376319834,3.358503209039743,2.9301470123836166
Borofone BR18,Borofone,76,Портативні колонки,63,4.174603174603175,4.257458657124102,4.257458657124102,4.209265029002967,4.135520803071495,3.9403341736467032,3.73282726725299
CTECHI GT200 300Вт(200Вт) 240 Вт*Г(англійська версія),CTECHi,4,Зарядні станції,5,4.4,4.521188386225523,4.521188386225523,4.521188386225523,4.521188386225523,4.521188386225523,4.521188386225523
CTECHI GT200 PRO 320 Вт*Г 240 Вт(англійська версія),CTECHi,4,Зарядні станції,2,4.5,4.546804984347186,4.546804984347186,4.546804984347186,4.546804984347186,4.546804984347186,4.546804984347186
"DaranEner NEOZ, акумулятор LiFePO4 потужністю 300 Вт",Daranener,4,Зарядні станції,5,4.6,4.561188386225523,4.561188386225523,4.50950515272965,4.4287343387252465,4.239470870582539,4.2063989337955565
Doogee Tab E3 LTE 8/256GB,Doogee,225,Планшети,1,3.0,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474
